Id,SalePrice
1461,73597.85
1462,169736.34
1463,150692.34
1464,257107.25
1465,79815.47
1466,101179.95
1467,103349.39
1468,98044.875
1469,186021.36
1470,108698.875
1471,146690.31
1472,49597.133
1473,70778.32
1474,140354.73
1475,252686.06
1476,344314.72
1477,234301.1
1478,141897.78
1479,160998.84
1480,533203.75
1481,334510.5
1482,217469.97
1483,226261.81
1484,96027.9
1485,134927.2
1486,104993.336
1487,202537.1
1488,230716.1
1489,115812.97
1490,154242.4
1491,126447.22
1492,52497.746
1493,85553.82
1494,218589.27
1495,235732.38
1496,248462.17
1497,158760.4
1498,105916.266
1499,82660.305
1500,122113.82
1501,171052.27
1502,125532.484
1503,131720.55
1504,202387.45
1505,167653.28
1506,190105.77
1507,256635.92
1508,228411.22
1509,303476.3
1510,125272.73
1511,74059.1
1512,244952.81
1513,96607.516
1514,185574.31
1515,306511.75
1516,157879.39
1517,68591.19
1518,65054.15
1519,163724.6
1520,106237.766
1521,140713.11
1522,181408.97
1523,85982.51
1524,87426.305
1525,75287.45
1526,56540.49
1527,75449.11
1528,146023
1529,117412.61
1530,138046.86
1531,80583.836
1532,144979.1
1533,281443.72
1534,58040.914
1535,146138.48
1536,87454.99
1537,16377.049
1538,259007.66
1539,90836.125
1540,69636.81
1541,118943.45
1542,72401.62
1543,366425.75
1544,159096.12
1545,120834.64
1546,69675.14
1547,225563.34
1548,89727.17
1549,124039.45
1550,102242.78
1551,110252.18
1552,109497.625
1553,196634.11
1554,83257
1555,78090.49
1556,135547.56
1557,80523.22
1558,164386.4
1559,66408.266
1560,66342.12
1561,349158.7
1562,136065.89
1563,86308.75
1564,217535.73
1565,132849.78
1566,137936.33
1567,75418.32
1568,171860.69
1569,37621.785
1570,84162.62
1571,131495.75
1572,78584.32
1573,249088.75
1574,129816.234
1575,175116.7
1576,151732.95
1577,237926.81
1578,131735.5
1579,128123.95
1580,86852.15
1581,225446.98
1582,111779.18
1583,248228.66
1584,162523.92
1585,79831.305
1586,34657.574
1587,110173.56
1588,119072.266
1589,80686.805
1590,107405.02
1591,147528.02
1592,113279.88
1593,71247.375
1594,89660.71
1595,135791.84
1596,151134.48
1597,195383.92
1598,159115.84
1599,119370.84
1600,81162.75
1601,105834.484
1602,102224.65
1603,51457.74
1604,294088.25
1605,180096.98
1606,97338.12
1607,69667.63
1608,314172.75
